Id,SalePrice
1461,123000
1462,151500
1463,173000
1464,201000
1465,153900
1466,178000
1467,176000
1468,180000
1469,167000
1470,149900
1471,181000
1472,118000
1473,88000
1474,148500
1475,55000
1476,378500
1477,233170
1478,256300
1479,320000
1480,466500
1481,285000
1482,202500
1483,181000
1484,160200
1485,180000
1486,183500
1487,274900
1488,235128
1489,208300
1490,220000
1491,195000
1492,83000
1493,181000
1494,250000
1495,350000
1496,148500
1497,146000
1498,151000
1499,151000
1500,147400
1501,176000
1502,148800
1503,394432
1504,230000
1505,230000
1506,110000
1507,260000
1508,167900
1509,154000
1510,155000
1511,142000
1512,157500
1513,140000
1514,118000
1515,169000
1516,143000
1517,154500
1518,143000
1519,207500
1520,139000
1521,142000
1522,163000
1523,110000
1524,128900
1525,128900
1526,80000
1527,135000
1528,130000
1529,139000
1530,159000
1531,135000
1532,98000
1533,130000
1534,127000
1535,147000
1536,144000
1537,35311
1538,161000
1539,159500
1540,117500
1541,158000
1542,133000
1543,234000
1544,80000
1545,128000
1546,131000
1547,175000
1548,132500
1549,155000
1550,135000
1551,115000
1552,122500
1553,127000
1554,78000
1555,143000
1556,135000
1557,107500
1558,115000
1559,61000
1560,95000
1561,136500
1562,130000
1563,123000
1564,121500
1565,171000
1566,260000
1567,82000
1568,190000
1569,139600
1570,147000
1571,115000
1572,145000
1573,187500
1574,60000
1575,179900
1576,252000
1577,198900
1578,157500
1579,148000
1580,191000
1581,154000
1582,130000
1583,350000
1584,236000
1585,140000
1586,72500
1587,111000
1588,145000
1589,55993
1590,155000
1591,80000
1592,132000
1593,110000
1594,200000
1595,113000
1596,140000
1597,154300
1598,112000
1599,147000
1600,189000
1601,60000
1602,110000
1603,135000
1604,275000
1605,235000
1606,181500
1607,171000
1608,227680
1609,198900
1610,167500
1611,140000
1612,152000
1613,175000
1614,125000
1615,88000
1616,88000
1617,88000
1618,127000
1619,128200
1620,142953
1621,147000
1622,139000
1623,205000
1624,129000
1625,127500
1626,175500
1627,192000
1628,248000
1629,168500
1630,278000
1631,189000
1632,251000
1633,180000
1634,175000
1635,187500
1636,176000
1637,250000
1638,195000
1639,175000
1640,260000
1641,157000
1642,223500
1643,226000
1644,230000
1645,250000
1646,160000
1647,82500
1648,140000
1649,135000
1650,120500
1651,124500
1652,100000
1653,94500
1654,155000
1655,147000
1656,148500
1657,155000
1658,148500
1659,133900
1660,147000
1661,412500
1662,335000
1663,402861
1664,466500
1665,372500
1666,369900
1667,310000
1668,255500
1669,320000
1670,337500
1671,280000
1672,555000
1673,309000
1674,227000
1675,185850
1676,196000
1677,207000
1678,611657
1679,315000
1680,318061
1681,264132
1682,315000
1683,171750
1684,155835
1685,163990
1686,160200
1687,167500
1688,190000
1689,190000
1690,180000
