,GU_NAM,MN_VD,WN_VD,vdtot,MN_HI,WN_HI,hitot,OT_ALL,vd,hi
0,강남구,918,644,1562,916,832,1748,15326,10.190000000000001,11.41
1,강동구,1140,675,1815,1160,863,2023,17380,10.440000000000001,11.64
2,강북구,1151,883,2034,1265,1042,2307,17522,11.61,13.170000000000002
3,강서구,1704,1148,2852,2024,1762,3786,28810,9.9,13.139999999999999
4,관악구,1415,883,2298,1489,1062,2551,20264,11.34,12.590000000000002
5,광진구,838,505,1343,855,666,1521,12610,10.65,12.06
6,구로구,1176,738,1914,1371,975,2346,17603,10.870000000000001,13.33
7,금천구,743,447,1190,875,626,1501,11197,10.63,13.41
8,노원구,1546,1232,2778,1650,1574,3224,27396,10.14,11.77
9,도봉구,987,631,1618,1133,899,2032,15373,10.52,13.22
10,동대문구,981,566,1547,1156,905,2061,15838,9.77,13.01
11,동작구,989,616,1605,1172,926,2098,14691,10.93,14.280000000000001
12,마포구,885,608,1493,928,779,1707,13219,11.29,12.91
13,서대문구,799,545,1344,888,804,1692,12610,10.66,13.420000000000002
14,서초구,748,444,1192,762,574,1336,10581,11.27,12.629999999999999
15,성동구,706,501,1207,794,686,1480,11880,10.16,12.46
16,성북구,1119,778,1897,1255,989,2244,17415,10.89,12.889999999999999
17,송파구,1283,760,2043,1248,1052,2300,20008,10.209999999999999,11.5
18,양천구,1031,686,1717,1315,1149,2464,17350,9.9,14.2
19,영등포구,974,609,1583,1187,891,2078,14404,10.99,14.430000000000001
20,용산구,614,385,999,587,492,1079,8102,12.33,13.320000000000002
21,은평구,1436,918,2354,1615,1344,2959,21531,10.93,13.74
22,종로구,462,265,727,461,349,810,6016,12.08,13.459999999999999
23,중구,452,276,728,422,313,735,5638,12.91,13.04
24,중랑구,1223,837,2060,1241,983,2224,20153,10.22,11.04
