,시설이름,상세주소,위도,경도
0,영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,37.5107607,126.9103059
1,마포점자도서실,서울특별시 마포구 망원2동 451-1,37.55911865,126.9005583
2,사람희망 금천장애인자립생활센터,서울특별시 금천구 독산로 70C동 603호,0,0
3,해오름장애인자립생활센터,서울특별시 영등포구 국회대로62길 14,0,0
4,이음장애인자립생활센터,서울특별시 영등포구 선유로 146,0,0
5,장애인자립생활주택(가형)-강동장애인자립생활센터,서울특별시 강동구 올림픽로98가길 6-14,0,0
6,장애인자립생활주택(다형) 해뜨는양지,서울특별시 강동구 상암로81길 10-1,37.5461749,127.1678028
7,장애인자립생활주택(가형)-해뜨는양지,서울특별시 강동구 천중로9길 40,0,0
8,성동발달장애인평생교육센터,서울특별시 성동구 성수이로 144,0,0
9,동작발달장애인평생교육센터,서울특별시 동작구 사당로 253-3,0,0
10,관악구발달장애인평생교육센터,서울특별시 관악구 신림로 1584~5층,37.4858122,126.9291162
11,서울시그룹홈지원센터,서울특별시 강남구 도곡로 416-0,0,0
12,꿈더하기지원센터,서울특별시 영등포구 영등포로64길 15,0,0
13,은평발달장애인평생교육센터,서울특별시 은평구 통일로934,0,0
14,강남장애인가족지원센터,"서울특별시 강남구 밤고개로1길 10,",37.4880133,127.1018308
15,Good Job 자립생활센터,서울특별시 강남구 테헤란로8길 36,37.4973549,127.0318573
16,양천구발달장애인평생교육센터,"서울특별시 양천구 중앙로 181,",37.5197122,126.8531251
17,서대문 발달장애인평생교육센터,서울특별시 서대문구 증가로4길63-17,0,0
18,강남세움 발달장애인 평생교육센터,서울특별시 강남구 광평로60길22,0,0
19,노원발달장애인평생교육센터,서울특별시 노원구 동일로250길 44,0,0
20,서대문장애인가족지원센터,"서울특별시 서대문구 세검정로 78-19,",37.59188,126.9447059
21,용산구장애인가족지원센터,서울특별시 용산구 백범로 329,0,0
22,종로발달장애인평생교육센터,서울특별시 종로구 종로17길 8,37.5707276,126.9889123
23,영등포구 발달장애인평생교육센터,"서울특별시 영등포구 문래북로 1055~7층,",37.5215801,126.8863621
24,강남발달장애인평생교육센터,"서울특별시 강남구 논현로86길 21,",37.50032735,127.0392017
25,도봉발달장애인 평생교육센터,"서울특별시 도봉구 마들로 703,",37.6623294,127.0458791
