"콘텐츠명
(필수 입력)","주소[구]
(조건부 선택 입력)","상세 제목1
(선택 입력)","상세 내용1
(선택 입력)","상세 제목2
(선택 입력)","상세 내용2
(선택 입력)","상세 제목3
(선택 입력)","상세 내용3
(선택 입력)","상세 제목4
(선택 입력)","상세 내용4
(선택 입력)","상세 제목5
(선택 입력)","상세 내용5
(선택 입력)"
신당1동주민센터,중구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 6
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용가능,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 미설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
고려대아이스링크,성북구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 250
전용주차대수 - 4
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,단차없음 또는 경사로 1/12이하 설치,해당없음,해당없음,해당없음,해당없음
대진체육관,강남구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 미만
손잡이 설치",해당없음,해당없음,해당없음,해당없음
LG전자 길동사거리점,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 미만",해당없음,해당없음,해당없음,해당없음
아웃백스테이크하우스 남영점,용산구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
개봉1동주민센터,구로구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 7
전용주차대수 - 4
출입구와 가까운 곳에 설치
크기 미 확보
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 미설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 미흡설치
회전식손잡이 미흡설치"
평창동 주민센터,종로구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,"총주차대수 - 9
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용불편,"승강기크기 1.6*1.35m 미만
가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용불편,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
가락2동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 9
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 미흡설치
수직손잡이 미흡설치
회전식손잡이 미흡설치"
잠실2동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 16
전용주차대수 - 2
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용가능,"승강기크기 1.6*1.35m 이상
가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
잠실본동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 12
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 미만
바닥단차 2cm 이하
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
