"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"임마누엘보호작업시설","C0031","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이연호","1171000000","송파구","서울특별시 송파구 양산로10길 26","40","40","02-449-6956","05773"
"아름다운","C0268","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이상춘","1126000000","중랑구","서울특별시 중랑구 망우로55길 32한국프라우드아파트 103호","30","31","02-971-1767","02086"
"마리스타보호작업장","C0287","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김주봉","1144000000","마포구","충청북도 충주시 지속골길 71","30","32","043-853-7315","380831"
"강북구립장애인보호작업장","C0290","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","서정철","1130500000","강북구","서울특별시 강북구 오현로 199-9 (번동)","32","30","02-986-7733","01143"
"용산구립장애인보호작업장","C0299","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","서종열","1117000000","용산구","서울특별시 용산구 한강대로 3311~2층","50","31","02-711-7882","04320"
"다니엘직업재활원","C0355","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","김상호","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16","60","45","02-445-4577","06796"
"동천","C0362","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","성선경","1135000000","노원구","서울특별시 노원구 노원로18길 41하계동","50","45","02-974-2950","01747"
"노원교육복지재단(다모인)","C0373","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","안진모","1135000000","노원구","서울특별시 노원구 노원로 311중계제1공단 301호","0","69","02-972-4362","01787"
"원광보호작업장","C0388","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박중석","1126000000","중랑구","서울특별시 중랑구 신내로 56마동","46","46","02-438-2605","02069"
"참좋은센터","C0396","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","한인규","1126000000","중랑구","서울특별시 중랑구 봉화산로56길 99-15(신내동)","30","30","02-491-3773","02070"
"신아보호작업장","C0401","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","황성경","1171000000","송파구","서울특별시 송파구 양산로8길 17신아보호작업장","60","65","02-400-4695","138815"
"조은세상","C0423","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박정식","1126000000","중랑구","서울특별시 중랑구 동일로140길 31-21(2층,3층)","30","30","02-439-9593","02047"
"데일리스보호작업시설","C0493","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김용진","1123000000","동대문구","서울특별시 동대문구 천호대로83길 14장안동","24","21","0222170328","02636"
"북서울장애인보호작업시설","C0495","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정성우","1130500000","강북구","서울특별시 강북구 한천로115길 20-0501동 2층","32","32","02-985-3609","01137"
"삼성떡프린스","C0498","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최종태","1159000000","동작구","서울특별시 동작구 양녕로30길 19-4      ","30","30","02-823-2230","07035"
"교남어유지동산","C0523","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","권세진","1150000000","강서구","경기도 파주시 적성면 어못내길 94-44(적성면, 교남어유지동산) ","60","34","031-958-8593","10804"
"소망제이앤피","C0538","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박남식","1168000000","강남구","서울특별시 강남구 언주로167길 351층","30","30","02-3445-8450","135894"
"보담터","C0587","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","엄광현","1135000000","노원구","서울특별시 노원구 중계로 163-0보담터","25","20","02-935-0655","01736"
"라온클린패밀리","C0649","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최희도","1174000000","강동구","서울특별시 강동구 고덕로 295-45(고덕동)","0","26","02-3427-0876","134803"
"중랑구립직업재활센터","C0685","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박세향","1126000000","중랑구","서울특별시 중랑구 숙선옹주로9길 55(묵동)","50","43","02-977-8291","02030"
"해맑음보호작업시설","C0783","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최민량","1135000000","노원구","서울특별시 노원구 동일로 1097(공릉동)","30","30","02-949-6739","01852"
"가브리엘작업장","C0833","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정유진","1135000000","노원구","서울특별시 노원구 한글비석로24라길 94-13","30","20","02-951-9707","01657"
"더해봄(종로구립장애인근로사업장)","C0858","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","이운용","1111000000","종로구","서울특별시 종로구 대학로3길 141층 (효제동)","47","44","02-742-0660","03128"
"북부장애인직업재활시설","C0939","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","송경주","1135000000","노원구","서울특별시 노원구 덕릉로70가길 92 (상계동)","0","40","02-2092-1791","01772"
"대린직업훈련원","C0950","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","민도선","1135000000","노원구","서울특별시 노원구 동일로248길 30상계동","30","32","02-939-0607","01623"
"동안제일복지센터","C1036","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박경호","1171000000","송파구","서울특별시 송파구 거마로 792층 (마천동)","30","30","02-3401-4162","05734"
"동안우리복지센터","C1043","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","신일한","1174000000","강동구","서울특별시 강동구 풍성로 1462층 (성내동)","0","33","02-473-0558","05394"
"사회복지법인 에덴복지재단 에덴하우스","C1044","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","홍성규","1153000000","구로구","경기도 파주시 소라지로195번길 47-30(신촌동)","90","90","031-946-7033","10863"
